,id,tags,lonlat,sport,leisure
4446,251643587,{'leisure': 'park'},"(2578290671, 2578290672, 2578290673, 2578290674, 2578290675, 2578290676, 2578290671)",,park
4447,251643594,{'leisure': 'park'},"(2578290696, 2578290697, 2578290698, 2578290699, 2578290696)",,park
4448,251644291,{'leisure': 'park'},"(2578295879, 2578295880, 2578295881, 2578295882, 2578295879)",,park
4449,251651001,{'leisure': 'park'},"(2578360362, 2578360363, 2578360364, 2578360365, 2578360362)",,park
4450,251653056,{'leisure': 'park'},"(2578374693, 2578374694, 2578374695, 2578374696, 2578374693)",,park
4451,251653057,{'leisure': 'park'},"(2578374697, 2578374698, 2578374699, 2578374700, 2578374697)",,park
4452,251653449,{'leisure': 'park'},"(2578378707, 2578378708, 2578378709, 2578378710, 2578378707)",,park
4453,251657080,{'leisure': 'park'},"(2578399128, 2578399129, 2578399130, 2578399131, 2578399128)",,park
4454,251657081,{'leisure': 'park'},"(2578399132, 2578399133, 2578399134, 2578399135, 2578399132)",,park
4455,251657569,{'leisure': 'park'},"(2578404851, 2578404852, 2578404853, 2578404854, 2578404851)",,park
4456,251665051,{'leisure': 'park'},"(2578479494, 2578479495, 2578479496, 2578479497, 2578479494)",,park
4457,251665319,{'leisure': 'park'},"(2578481946, 2578481949, 2578481952, 2578481954, 2578481946)",,park
4458,251667091,{'leisure': 'park'},"(2578497854, 2578497856, 2578497858, 2578497859, 2578497854)",,park
4459,251668185,{'leisure': 'park'},"(2578511472, 2578511473, 2578511474, 2578511475, 2578511472)",,park
4460,251669897,{'leisure': 'park'},"(2578538017, 2578538018, 2578538019, 2578538020, 2578538017)",,park
4461,251669909,{'leisure': 'park'},"(2578538065, 2578538066, 2578538067, 2578538068, 2578538065)",,park
4462,251713679,{'leisure': 'park'},"(2578981957, 2578981958, 2578981959, 2578981960, 2578981957)",,park
4463,251720510,{'leisure': 'park'},"(2579033141, 2579033142, 2579033143, 2579033144, 2579033141)",,park
4464,251720511,{'leisure': 'park'},"(2579033145, 2579033146, 2579033147, 2579033148, 2579033145)",,park
4465,251721047,{'leisure': 'park'},"(2579037276, 2579037277, 2579037278, 2579037279, 2579037276)",,park
4466,251721048,{'leisure': 'park'},"(2579037280, 2579037281, 2579037282, 2579037283, 2579037280)",,park
4467,251721597,{'leisure': 'park'},"(2579041433, 2579041434, 2579041435, 2579041436, 2579041437, 2579041438, 2579041439, 2579041440, 2579041441, 2579041442, 2579041433)",,park
4468,251721607,{'leisure': 'park'},"(2579041481, 2579041485, 2579041486, 2579041487, 2579041488, 2579041482, 2579041481)",,park
4469,251721620,{'leisure': 'park'},"(2579041545, 2579041546, 2579041547, 2579041548, 2579041545)",,park
4470,251725087,{'leisure': 'park'},"(2579061344, 2579061345, 2579061346, 2579061347, 2579061344)",,park
4471,251725106,{'leisure': 'park'},"(2579061401, 2579061402, 2579061403, 2579061404, 2579061401)",,park
4472,251730308,{'leisure': 'park'},"(2579096286, 2579096288, 2579096290, 2579096292, 2579096286)",,park
4473,251781800,{'leisure': 'park'},"(2579576002, 2579576003, 2579576004, 2579576005, 2579576002)",,park
4474,251792635,{'leisure': 'park'},"(2579668754, 2579668756, 2579668758, 2579668760, 2579685452, 2579668754)",,park
4475,251792639,{'leisure': 'park'},"(2579668780, 2579668781, 2579668782, 2579668784, 2579668780)",,park
4476,251809181,{'leisure': 'park'},"(2579813120, 2579813134, 2579813136, 2579813139, 2579813132, 2579813120)",,park
